Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars,Diabetes
Oyster cooked,0,1,1,1,159,4.0,29.0,4.9,6.0,81,409.0,0.0,0.0,0,0.0,0
Chocolate Icecream,0,0,1,0,216,11.0,3.8,0.93,109.0,76,249.0,28.0,1.2,0,25.0,0
Vanilla Ice cream,0,0,1,0,207,11.0,3.5,0.09,128.0,80,199.0,24.0,0.7,0,21.0,0
Strawberry Icecream,0,0,1,0,192,8.4,3.2,0.21,120.0,60,188.0,28.0,0.9,0,0.0,0
Idli,1,0,1,0,150,1.2,6.0,1.5,30.0,240,60.0,30.0,1.8,0,0.3,0
Upma,1,0,1,0,450,10.0,9.0,2.0,100.0,900,300.0,75.0,6.0,0,1.0,0
Masala Dosa,1,0,1,0,750,18.0,15.0,3.0,200.0,1200,450.0,135.0,10.0,0,2.0,0
Neer Dosa,1,0,1,0,350,9.0,9.0,2.0,20.0,400,100.0,60.0,3.0,0,1.0,0
Methi Thepla ,1,0,1,0,150,6.0,5.0,2.0,30.0,300,150.0,20.0,3.0,0,2.0,0
Vegitable Upma,1,0,1,0,250,7.0,5.0,2.0,20.0,400,150.0,45.0,3.0,0,2.0,0
Coconut Rice,1,1,1,0,300,12.0,5.0,2.0,20.0,300,100.0,45.0,2.0,0,2.0,0
Lemon Rice,1,1,1,0,250,9.0,5.0,2.0,20.0,400,100.0,40.0,2.0,0,2.0,0
Curd Rice,1,1,1,0,250,10.0,5.0,2.0,80.0,400,150.0,40.0,2.0,0,3.0,0
Tamarind Rice,1,1,1,0,300,10.0,5.0,2.0,30.0,400,100.0,45.0,3.0,0,3.0,0
Pesarattu,1,0,1,0,200,4.0,6.0,3.0,20.0,200,300.0,35.0,4.0,0,2.0,0
Mysore Bonda,1,0,0,0,150,8.0,4.0,1.0,20.0,300,50.0,20.0,2.0,0,2.0,0
Kanchipuram Idli,1,0,1,0,350,12.0,8.0,2.0,30.0,400,100.0,50.0,3.0,0,2.0,0
Thattai,1,0,1,0,200,12.0,4.0,2.0,30.0,300,50.0,20.0,2.0,0,2.0,0
Rava Kichadi,1,0,1,0,300,10.0,7.0,3.0,30.0,500,150.0,45.0,3.0,0,3.0,0
Kal Dosai,1,0,1,0,300,3.0,9.0,2.0,50.0,600,300.0,60.0,3.0,0,0.0,0
Ragi Rotti,1,0,1,0,200,7.0,6.0,3.0,30.0,20,200.0,30.0,3.0,0,2.0,0
Onion Rava Dosa,1,0,1,0,200,8.0,5.0,2.0,20.0,400,100.0,30.0,3.0,0,2.0,0
Bisi Bele Bath,1,1,1,0,400,12.0,10.0,3.0,40.0,700,250.0,60.0,6.0,0,3.0,0
Tomato Bath,1,1,1,0,300,12.0,6.0,3.0,30.0,400,100.0,45.0,3.0,0,3.0,0
Paniyaram,1,0,0,0,150,5.0,4.0,2.0,20.0,300,100.0,20.0,2.0,0,2.0,0
Poriyal,0,1,1,0,100,5.0,5.0,2.0,40.0,300,400.0,15.0,4.0,0,4.0,0
Avial,0,1,1,0,150,10.0,5.0,2.0,40.0,300,400.0,12.0,4.0,0,4.0,0
Koottu,0,1,1,0,150,8.0,7.0,2.0,40.0,400,500.0,15.0,4.0,0,4.0,0
Kootu Curry,0,1,1,0,150,8.0,7.0,2.0,40.0,400,500.0,15.0,4.0,0,4.0,0
Vathal Kozhambu,0,1,1,0,250,10.0,6.0,2.0,40.0,600,400.0,30.0,4.0,0,5.0,0
Moru Curry,0,1,1,0,150,8.0,5.0,2.0,40.0,400,400.0,15.0,4.0,0,4.0,0
Vendakkai Puli Kuzhambu,0,1,1,0,150,8.0,5.0,2.0,40.0,400,400.0,15.0,4.0,0,4.0,0
Thakkali Thokku,0,1,1,0,100,6.0,2.0,1.0,20.0,400,200.0,10.0,3.0,0,4.0,0
Chicken Soup,0,1,1,1,150,5.0,15.0,2.0,40.0,700,500.0,10.0,2.0,0,3.0,0
Egg Curry,0,1,1,1,250,15.0,15.0,2.0,40.0,900,500.0,10.0,2.0,0,3.0,0
