Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars,Diabetes
Akki Roti,1,0,1,0,350,10,8,3,30,400,150,55,3,0,2,1
Ragi Dosa,1,0,1,0,350,9,12,4,60,400,200,70,8,0,2,1
Methi Thepla ,1,0,1,0,150,6,5,2,30,300,150,20,3,0,2,0
Ven Pongal,1,0,1,0,350,10,9,3,20,400,150,60,3,0,2,1
Semiya Upma,1,0,1,0,250,7,5,2,20,400,150,45,3,0,2,1
Vegitable Upma,1,0,1,0,250,7,5,2,20,400,150,45,3,0,2,0
Tomato Upma,1,0,1,0,250,7,5,2,20,400,150,45,3,0,3,1
Rava Kesari,1,0,0,0,200,8,2,1,20,200,30,30,1,0,15,1
Coconut Rice,1,1,1,0,300,12,5,2,20,300,100,45,2,0,2,0
Lemon Rice,1,1,1,0,250,9,5,2,20,400,100,40,2,0,2,0
Curd Rice,1,1,1,0,250,10,5,2,80,400,150,40,2,0,3,0
Tamarind Rice,1,1,1,0,300,10,5,2,30,400,100,45,3,0,3,0
Pesarattu,1,0,1,0,200,4,6,3,20,200,300,35,4,0,2,0
Poori,1,0,0,0,350,18,9,2,20,400,150,35,2,0,2,1
Chana Bhatura,1,0,0,0,700,30,15,4,60,800,350,70,7,0,2,1
Mysore Bonda,1,0,0,0,150,8,4,1,20,300,50,20,2,0,2,0
Ragi Mudde,1,0,1,0,200,3,7,3,30,20,200,40,5,0,2,1
Chitranna,1,1,1,0,250,9,5,2,20,400,100,40,3,0,2,1
Kanchipuram Idli,1,0,1,0,350,12,8,2,30,400,100,50,3,0,2,0
Ragi Ball,1,0,1,0,200,3,8,3,30,20,200,40,5,0,2,1
Aval Upma,1,0,1,0,250,7,4,2,20,400,100,40,2,0,2,1
Thattai,1,0,1,0,200,12,4,2,30,300,50,20,2,0,2,0
Rava Kichadi,1,0,1,0,300,10,7,3,30,500,150,45,3,0,3,0
Kal Dosai,1,0,1,0,300,3,9,2,50,600,300,60,3,0,0,0
Ragi Rotti,1,0,1,0,200,7,6,3,30,20,200,30,3,0,2,0
Onion Rava Dosa,1,0,1,0,200,8,5,2,20,400,100,30,3,0,2,0
Bisi Bele Bath,1,1,1,0,400,12,10,3,40,700,250,60,6,0,3,0
Tomato Bath,1,1,1,0,300,12,6,3,30,400,100,45,3,0,3,0
Paniyaram,1,0,0,0,150,5,4,2,20,300,100,20,2,0,2,0
Wheat Halwa,1,1,0,0,250,10,4,2,30,20,100,40,2,0,15,1
Sambar Rice,0,1,1,0,300,5,10,2,30,500,300,60,5,0,4,1
Rasam Rice,0,1,1,0,200,4,8,1,20,500,200,40,3,0,4,1
Poriyal,0,1,1,0,100,5,5,2,40,300,400,15,4,0,4,0
Avial,0,1,1,0,150,10,5,2,40,300,400,12,4,0,4,0
Koottu,0,1,1,0,150,8,7,2,40,400,500,15,4,0,4,0
Kootu Curry,0,1,1,0,150,8,7,2,40,400,500,15,4,0,4,0
Vathal Kozhambu,0,1,1,0,250,10,6,2,40,600,400,30,4,0,5,0
Moru Curry,0,1,1,0,150,8,5,2,40,400,400,15,4,0,4,0
Vendakkai Puli Kuzhambu,0,1,1,0,150,8,5,2,40,400,400,15,4,0,4,0
Thakkali Thokku,0,1,1,0,100,6,2,1,20,400,200,10,3,0,4,0
Paruppu,0,1,1,0,150,4,10,2,20,400,400,15,4,0,3,1
Potato Curry,0,1,1,0,200,10,5,2,40,500,500,20,4,0,4,1
Paneer Tikka,0,1,1,0,250,15,15,2,300,500,400,10,2,0,4,1
Malai Kofta,0,1,1,0,400,20,10,2,100,700,500,30,4,0,8,1
Gobi Manchurian,0,1,1,0,300,20,10,2,100,800,500,25,4,0,6,1
Paratha,0,1,1,0,300,12,8,2,40,500,200,40,4,0,3,1
Chicken Biryani,0,1,1,1,600,25,25,4,40,900,400,60,4,0,4,1
Mutton Curry,0,1,1,1,500,25,30,4,40,900,500,20,4,0,4,1
Prawn Masala,0,1,1,1,300,15,20,4,40,900,500,10,2,0,4,1
Chicken Chettinad,0,1,1,1,400,25,30,4,40,900,500,20,4,0,4,1
Kozhi Varutha Curry,0,1,1,1,350,25,30,4,40,900,500,20,4,0,4,1
Chicken Soup,0,1,1,1,150,5,15,2,40,700,500,10,2,0,3,0
Mutton Biryani,0,1,1,1,600,25,30,4,40,900,500,50,4,0,4,1
Prawn Biryani,0,1,1,1,600,25,30,4,40,900,500,50,4,0,4,1
Fish Biryani,0,1,1,1,600,25,30,4,40,900,500,50,4,0,4,1
Fish Curry,0,1,1,1,250,15,20,2,40,900,500,10,2,0,3,1
Egg Curry,0,1,1,1,250,15,15,2,40,900,500,10,2,0,3,0
